asset,market_id,market_slug,token_id,question,lag_hours,direction,n,correlation,tstat,pvalue_two_sided,candidate_score,days_bucket,volume_bucket,liquidity_bucket,volume_1mo_usd,volume_total_usd,liquidity_usd,exploratory_label
BTC,1823785,will-bitcoin-dip-to-35k-in-april-2026-269-515,55866919730905441060316639913713252112909337594136306040264616999652467664982,"Will Bitcoin dip to $35,000 in April?",1,poly_leads_crypto,310,0.09509732864160456,1.6765495011457763,0.09464524852134515,1.6765495011457763,<7d,100k-1m,100k-1m,587187.6072619988,587187.6072620042,118428.8457,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1345530,will-bitcoin-reach-80000-by-december-31-2026-195-842-488-785,57919935471407397521237084573781793510659396827525482575585173092467716045100,"Will Bitcoin reach $80,000 by December 31, 2026?",4,poly_leads_crypto,629,0.06434371616416235,1.6145101913861128,0.10691989960204606,1.6145101913861128,>90d,100k-1m,10k-100k,359045.5921890006,642867.6855509996,78398.76926,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1823794,will-ethereum-reach-3000-in-april-2026,98694887273478515891138203442549017191281454470497426834485838288268569808164,"Will Ethereum reach $3,000 in April?",1,poly_leads_crypto,402,0.07606734406856408,1.5257675145080165,0.1278580429027646,1.5257675145080165,<7d,100k-1m,100k-1m,598157.0221549993,598157.0221549993,117795.36379,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,"Will Bitcoin dip to $10,000 by December 31, 2026?",1,poly_leads_crypto,691,-0.05608713565890245,-1.4745416480579734,0.14079257601445616,1.4745416480579734,>90d,100k-1m,10k-100k,157241.6907210001,555986.2109070019,63713.42795,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,"Will Bitcoin dip to $10,000 by December 31, 2026?",4,poly_leads_crypto,688,-0.05389972104091268,-1.4137751549619324,0.15788156200105874,1.4137751549619324,>90d,100k-1m,10k-100k,157241.6907210001,555986.2109070019,63713.42795,EXPLORATORY ONLY - NOT TRADEABLE
SOL,1938186,solana-above-90-on-april-17,78049396186231898492663494001134050059411966497302094454855717401716270526313,Will the price of Solana be above $90 on April 17?,24,poly_leads_crypto,32,0.24626039559551308,1.391682401700199,0.17425218318153646,1.391682401700199,<7d,10k-100k,unknown,,99793.93197000002,,EXPLORATORY ONLY - NOT TRADEABLE
XRP,1823902,will-xrp-reach-2-in-april-2026,67556301124097607260152199396403959080839673893054926374870558197278260784915,Will XRP reach $2.00 in April?,1,poly_leads_crypto,275,0.08387049604620785,1.3906678127980832,0.16545872093234193,1.3906678127980832,<7d,10k-100k,10k-100k,98681.84129599998,98681.84129599994,28324.29143,EXPLORATORY ONLY - NOT TRADEABLE
BTC,701492,will-bitcoin-reach-140000-by-december-31-2026-131-829-299,71296910957902084356560391757722633648005498400799774895345285101862220728868,"Will Bitcoin reach $140,000 by December 31, 2026?",1,poly_leads_crypto,356,0.07335572901059295,1.3839082764631414,0.16725844956613956,1.3839082764631414,>90d,10k-100k,10k-100k,75533.53416499998,772108.5081680022,50782.3612,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,"Will Bitcoin reach $105,000 in April?",24,poly_leads_crypto,433,-0.06516509397222299,-1.3557441460007578,0.17589052335396127,1.3557441460007578,<7d,100k-1m,10k-100k,863597.2950850005,863597.2950850041,82214.30441,EXPLORATORY ONLY - NOT TRADEABLE
BTC,701504,will-bitcoin-dip-to-25000-by-december-31-2026-948-243-253-666-115-787-981-282-573-719-186-417-762-754-486-851-278-145,58908160299895538838177673280060816284346493901538403975218911918392404378292,"Will Bitcoin dip to $25,000 by December 31, 2026?",4,poly_leads_crypto,537,0.058270008269526614,1.3500831770550261,0.1775601899906255,1.3500831770550261,>90d,100k-1m,10k-100k,164712.26241800003,712219.070735,68840.9739,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1339767,will-bitcoin-dip-to-50000-by-december-31-2026-454-325-222-878-949-487-451,13887983551129862992605123088744175927084435631400400451585519366058907542147,"Will Bitcoin dip to $50,000 by December 31, 2026?",4,poly_leads_crypto,562,0.05691825741178056,1.349118942941335,0.17784399312820198,1.349118942941335,>90d,100k-1m,10k-100k,445255.657327,851703.4220849988,62540.1977,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1683284,ethereum-above-1800-on-march-29,109094156621519541870699273583786238236341299511399201395427426376752624557399,"Will the price of Ethereum be above $1,800 on March 29?",24,poly_leads_crypto,19,0.30887399556851924,1.3389928874165906,0.19820341102497396,1.3389928874165906,<7d,10k-100k,unknown,,99743.291569,,EXPLORATORY ONLY - NOT TRADEABLE
XRP,1823902,will-xrp-reach-2-in-april-2026,67556301124097607260152199396403959080839673893054926374870558197278260784915,Will XRP reach $2.00 in April?,4,poly_leads_crypto,272,0.07912524999646485,1.3042497661185843,0.1932591661535349,1.3042497661185843,<7d,10k-100k,10k-100k,98681.84129599998,98681.84129599994,28324.29143,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",1,poly_leads_crypto,494,-0.058405657633166276,-1.2977154441318468,0.19499322067981983,1.2977154441318468,<7d,>=1m,100k-1m,5820349.331861002,5820349.331861019,176052.84978,EXPLORATORY ONLY - NOT TRADEABLE
BTC,665258,will-china-unban-bitcoin-by-2027,91810646921497227084241579668235102205462718984593674693010693975258849328842,Will China unban Bitcoin by 2027?,1,poly_leads_crypto,580,0.05312383924828931,1.2789897377843567,0.20141391163699018,1.2789897377843567,>90d,10k-100k,10k-100k,96739.43797499988,818205.0446390073,34228.41932,EXPLORATORY ONLY - NOT TRADEABLE
ETH,701552,will-ethereum-dip-to-1500-by-december-31-2026,101639751789549589765350117072740510018809594718571111931328241076831078702528,"Will Ethereum dip to $1,500 by December 31, 2026?",24,poly_leads_crypto,390,0.06316312748613115,1.2466586297482765,0.21327477156261243,1.2466586297482765,>90d,100k-1m,10k-100k,164578.55726099998,761779.0427000016,55585.9309,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,MegaETH market cap (FDV) >$1.5B one day after launch?,4,poly_leads_crypto,601,-0.04630601284277109,-1.134532434706385,0.257025082131463,1.134532434706385,<7d,100k-1m,100k-1m,546288.3970620001,880221.591573998,162538.6863,EXPLORATORY ONLY - NOT TRADEABLE
BTC,701494,will-bitcoin-reach-120000-by-december-31-2026-625-425-562,65965214225073605704712365855887384729237451947822407248598722221769498441791,"Will Bitcoin reach $120,000 by December 31, 2026?",1,poly_leads_crypto,309,0.06291974529340588,1.1046317269570307,0.2701841936569993,1.1046317269570307,>90d,100k-1m,10k-100k,151909.34371,675607.7652819979,44536.8836,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,"Will Bitcoin reach $80,000 in April?",4,poly_leads_crypto,560,-0.04603822028397689,-1.0886702670148725,0.2767692836450547,1.0886702670148725,<7d,>=1m,10k-100k,7015203.707480963,7015203.707480978,79372.4545,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,"Will Bitcoin dip to $10,000 by December 31, 2026?",24,poly_leads_crypto,668,-0.04153855047128359,-1.0729103937022217,0.2836999207030788,1.0729103937022217,>90d,100k-1m,10k-100k,157241.6907210001,555986.2109070019,63713.42795,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1683284,ethereum-above-1800-on-march-29,109094156621519541870699273583786238236341299511399201395427426376752624557399,"Will the price of Ethereum be above $1,800 on March 29?",1,poly_leads_crypto,42,-0.1667154079981277,-1.069366544304139,0.2913154344983957,1.069366544304139,<7d,10k-100k,unknown,,99743.291569,,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823784,will-bitcoin-dip-to-40k-in-april-2026-795-619,98951083891762751529749372132438032148715175020829409124970659708693351854318,"Will Bitcoin dip to $40,000 in April?",4,poly_leads_crypto,275,0.06443400765947739,1.0668414567997,0.28698596534752485,1.0668414567997,<7d,100k-1m,100k-1m,873175.1079320026,873175.1079320033,186868.12829,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823769,will-bitcoin-reach-150k-in-april-2026,77276629954845974131206708639482331195080176051253233339450147891178665959820,"Will Bitcoin reach $150,000 in April?",1,poly_leads_crypto,268,-0.06411800785437731,-1.0478892785230072,0.2956408192097406,1.0478892785230072,<7d,>=1m,100k-1m,7997586.103078988,7997586.103078919,929194.09829,EXPLORATORY ONLY - NOT TRADEABLE
BTC,701504,will-bitcoin-dip-to-25000-by-december-31-2026-948-243-253-666-115-787-981-282-573-719-186-417-762-754-486-851-278-145,58908160299895538838177673280060816284346493901538403975218911918392404378292,"Will Bitcoin dip to $25,000 by December 31, 2026?",1,poly_leads_crypto,540,0.04238176460516191,0.9839217625521995,0.3255962505323712,0.9839217625521995,>90d,100k-1m,10k-100k,164712.26241800003,712219.070735,68840.9739,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823786,will-bitcoin-dip-to-30k-in-april-2026-724-192,84771301702351303074871180279903621715509085776274806851229789863791098403148,"Will Bitcoin dip to $30,000 in April?",24,poly_leads_crypto,245,-0.061751540553046,-0.9644518568542184,0.33577823805365303,0.9644518568542184,<7d,100k-1m,100k-1m,803283.7854150027,803283.7854150046,164586.3617,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1823796,will-ethereum-reach-2600-in-april-2026,50308948122998050994686144925841639946050360545921215447281194779092729393480,"Will Ethereum reach $2,600 in April?",4,poly_leads_crypto,261,0.05803007509094118,0.9354821167077896,0.35041128995605375,0.9354821167077896,<7d,100k-1m,10k-100k,600641.6077859999,600641.6077859997,47248.51119,EXPLORATORY ONLY - NOT TRADEABLE
BTC,701492,will-bitcoin-reach-140000-by-december-31-2026-131-829-299,71296910957902084356560391757722633648005498400799774895345285101862220728868,"Will Bitcoin reach $140,000 by December 31, 2026?",4,poly_leads_crypto,353,0.04854206304147726,0.9105086225182939,0.3631791739734743,0.9105086225182939,>90d,10k-100k,10k-100k,75533.53416499998,772108.5081680022,50782.3612,EXPLORATORY ONLY - NOT TRADEABLE
SOL,1823881,will-solana-reach-160-in-april-2026,2239666445220242421622333852346062404205114740031545382107437837927896782621,Will Solana reach $160 in April?,24,poly_leads_crypto,404,-0.0442260081310629,-0.887597173984187,0.37528820430255905,0.887597173984187,<7d,100k-1m,10k-100k,525253.4580469998,525253.4580469998,51776.28813,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1383662,will-megaeth-launch-a-token-by-june-30-2026-676-993-477,29601542826076048097538062468538667893425689293490219370577801090612691914945,"Will MegaETH launch a token by June 30, 2026?",4,poly_leads_crypto,667,0.032583045929105575,0.840684734013087,0.40082674383539063,0.840684734013087,>90d,100k-1m,10k-100k,472815.76375299995,558581.732351,29217.43075,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,MegaETH market cap (FDV) >$1.5B one day after launch?,1,poly_leads_crypto,604,0.0341695251904339,0.8388626719713056,0.4018793451184165,0.8388626719713056,<7d,100k-1m,100k-1m,546288.3970620001,880221.591573998,162538.6863,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,"Will Bitcoin reach $80,000 in April?",24,poly_leads_crypto,540,0.03591292752077086,0.8335318336664526,0.4049147549808896,0.8335318336664526,<7d,>=1m,10k-100k,7015203.707480963,7015203.707480978,79372.4545,EXPLORATORY ONLY - NOT TRADEABLE
BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,"Bitcoin all time high by September 30, 2026?",24,poly_leads_crypto,281,-0.04881318561267353,-0.8163140526825461,0.41501695821237927,0.8163140526825461,>90d,100k-1m,10k-100k,177102.009143,546993.9814949998,67639.9176,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,"Will Bitcoin reach $80,000 in April?",1,poly_leads_crypto,563,-0.03435409983616589,-0.8141725078496709,0.41589158367763956,0.8141725078496709,<7d,>=1m,10k-100k,7015203.707480963,7015203.707480978,79372.4545,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1393070,will-bitcoin-reach-1000000-by-december-31-2026-946,18571303954259773157233385333455041418270179723020753158306812650937565180666,"Will Bitcoin reach $1,000,000 by December 31, 2026?",4,poly_leads_crypto,526,-0.03525381894270035,-0.8074987496734076,0.41974558770660286,0.8074987496734076,>90d,100k-1m,100k-1m,582121.2551080002,966491.5530770047,110823.19725,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1756103,bitcoin-up-or-down-march-30-2026-5am-et,104148078587508844353349920933756688218237557006821345106795482220576723212955,"Bitcoin Up or Down - March 30, 5AM ET",1,poly_leads_crypto,41,-0.12581730550588321,-0.7920226856954876,0.43313872272889675,0.7920226856954876,<7d,10k-100k,unknown,,99881.6341209998,,EXPLORATORY ONLY - NOT TRADEABLE
ETH,701552,will-ethereum-dip-to-1500-by-december-31-2026,101639751789549589765350117072740510018809594718571111931328241076831078702528,"Will Ethereum dip to $1,500 by December 31, 2026?",1,poly_leads_crypto,413,0.03889674749597893,0.7891562160988941,0.4304757021726051,0.7891562160988941,>90d,100k-1m,10k-100k,164578.55726099998,761779.0427000016,55585.9309,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,"Will Bitcoin reach $105,000 in April?",1,poly_leads_crypto,456,0.03501335215700262,0.7464968680158652,0.45575370320501407,0.7464968680158652,<7d,100k-1m,10k-100k,863597.2950850005,863597.2950850041,82214.30441,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1823808,will-ethereum-dip-to-200-in-april-2026,45066766949965778603315663573010696695673430548613485477519584798737825506732,Will Ethereum dip to $200 in April?,4,poly_leads_crypto,284,0.044002471682550864,0.7396435564028703,0.46013157245895964,0.7396435564028703,<7d,100k-1m,100k-1m,835911.6006620002,835911.6006620011,171056.45452,EXPLORATORY ONLY - NOT TRADEABLE
ETH,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,57301498276970257025109591078431189727442302532145853906375186182281603517458,MegaETH market cap (FDV) >$2B one day after launch?,4,poly_leads_crypto,365,-0.03829425615406628,-0.7301391229565383,0.46577607685905065,0.7301391229565383,<7d,>=1m,100k-1m,1075200.6033969999,6727613.045463108,205192.3361,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1683284,ethereum-above-1800-on-march-29,109094156621519541870699273583786238236341299511399201395427426376752624557399,"Will the price of Ethereum be above $1,800 on March 29?",4,poly_leads_crypto,39,-0.11875518541303366,-0.7275077534362995,0.47149369128312624,0.7275077534362995,<7d,10k-100k,unknown,,99743.291569,,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1823800,will-ethereum-dip-to-1800-in-april-2026,88623813947148129759226599572615258910454701043061032464667581751883927272067,"Will Ethereum dip to $1,800 in April?",24,poly_leads_crypto,244,0.04523144388986894,0.7043570204518809,0.4818877165698582,0.7043570204518809,<7d,100k-1m,10k-100k,810695.9321300008,810695.9321300013,60778.84755,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1823800,will-ethereum-dip-to-1800-in-april-2026,88623813947148129759226599572615258910454701043061032464667581751883927272067,"Will Ethereum dip to $1,800 in April?",1,poly_leads_crypto,267,-0.04316224687306952,-0.7032858823771022,0.4824950237159267,0.7032858823771022,<7d,100k-1m,10k-100k,810695.9321300008,810695.9321300013,60778.84755,EXPLORATORY ONLY - NOT TRADEABLE
BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,"Bitcoin all time high by September 30, 2026?",4,poly_leads_crypto,301,0.03950689239880807,0.6836717750521548,0.49471191843368767,0.6836717750521548,>90d,100k-1m,10k-100k,177102.009143,546993.9814949998,67639.9176,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",24,poly_leads_crypto,471,-0.030467603298519604,-0.6601253025601993,0.50949748102629,0.6601253025601993,<7d,>=1m,100k-1m,5820349.331861002,5820349.331861019,176052.84978,EXPLORATORY ONLY - NOT TRADEABLE
BTC,665258,will-china-unban-bitcoin-by-2027,91810646921497227084241579668235102205462718984593674693010693975258849328842,Will China unban Bitcoin by 2027?,24,poly_leads_crypto,557,-0.027706220609572153,-0.6529659476182865,0.5140486170320769,0.6529659476182865,>90d,10k-100k,10k-100k,96739.43797499988,818205.0446390073,34228.41932,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823786,will-bitcoin-dip-to-30k-in-april-2026-724-192,84771301702351303074871180279903621715509085776274806851229789863791098403148,"Will Bitcoin dip to $30,000 in April?",1,poly_leads_crypto,268,0.039793230942688725,0.6495224194609848,0.5165612288051394,0.6495224194609848,<7d,100k-1m,100k-1m,803283.7854150027,803283.7854150046,164586.3617,EXPLORATORY ONLY - NOT TRADEABLE
BTC,701504,will-bitcoin-dip-to-25000-by-december-31-2026-948-243-253-666-115-787-981-282-573-719-186-417-762-754-486-851-278-145,58908160299895538838177673280060816284346493901538403975218911918392404378292,"Will Bitcoin dip to $25,000 by December 31, 2026?",24,poly_leads_crypto,517,-0.02843037157201905,-0.6454487117514471,0.5189238984232349,0.6454487117514471,>90d,100k-1m,10k-100k,164712.26241800003,712219.070735,68840.9739,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1393070,will-bitcoin-reach-1000000-by-december-31-2026-946,18571303954259773157233385333455041418270179723020753158306812650937565180666,"Will Bitcoin reach $1,000,000 by December 31, 2026?",24,poly_leads_crypto,506,0.028368906758396092,0.6371368109867623,0.5243250321997192,0.6371368109867623,>90d,100k-1m,100k-1m,582121.2551080002,966491.5530770047,110823.19725,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1823800,will-ethereum-dip-to-1800-in-april-2026,88623813947148129759226599572615258910454701043061032464667581751883927272067,"Will Ethereum dip to $1,800 in April?",4,poly_leads_crypto,264,-0.03723603708958307,-0.6031361901194585,0.54693983924645,0.6031361901194585,<7d,100k-1m,10k-100k,810695.9321300008,810695.9321300013,60778.84755,EXPLORATORY ONLY - NOT TRADEABLE
ETH,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,57301498276970257025109591078431189727442302532145853906375186182281603517458,MegaETH market cap (FDV) >$2B one day after launch?,1,poly_leads_crypto,368,0.029952159005021146,0.5732757516283881,0.5668100553622124,0.5732757516283881,<7d,>=1m,100k-1m,1075200.6033969999,6727613.045463108,205192.3361,EXPLORATORY ONLY - NOT TRADEABLE
XRP,1823900,will-xrp-reach-2pt4-in-april-2026,6907787482165930535735013797025597365762483807798181321474369791814479389352,Will XRP reach $2.40 in April?,4,poly_leads_crypto,413,0.0281331526847986,0.5705730421011934,0.5686008982592274,0.5705730421011934,<7d,10k-100k,10k-100k,96498.85069900002,96498.85069899993,28665.72915,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823785,will-bitcoin-dip-to-35k-in-april-2026-269-515,55866919730905441060316639913713252112909337594136306040264616999652467664982,"Will Bitcoin dip to $35,000 in April?",4,poly_leads_crypto,307,0.032619227634516516,0.5699736306767142,0.5691151754294406,0.5699736306767142,<7d,100k-1m,100k-1m,587187.6072619988,587187.6072620042,118428.8457,EXPLORATORY ONLY - NOT TRADEABLE
ETH,1823795,will-ethereum-reach-2800-in-april-2026,103455081209713767851750094101142549597038869631663604903086082563273644697340,"Will Ethereum reach $2,800 in April?",24,poly_leads_crypto,512,0.02491554082127649,0.562846863065683,0.573786501988741,0.562846863065683,<7d,100k-1m,10k-100k,800292.2327309981,800292.2327309975,79459.06841,EXPLORATORY ONLY - NOT TRADEABLE
SOL,1938186,solana-above-90-on-april-17,78049396186231898492663494001134050059411966497302094454855717401716270526313,Will the price of Solana be above $90 on April 17?,4,poly_leads_crypto,52,-0.07931781928816882,-0.5626343266461117,0.5761980392833803,0.5626343266461117,<7d,10k-100k,unknown,,99793.93197000002,,EXPLORATORY ONLY - NOT TRADEABLE
ETH,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,57301498276970257025109591078431189727442302532145853906375186182281603517458,MegaETH market cap (FDV) >$2B one day after launch?,24,poly_leads_crypto,345,-0.02936671854525638,-0.544113912306467,0.5867166021737864,0.544113912306467,<7d,>=1m,100k-1m,1075200.6033969999,6727613.045463108,205192.3361,EXPLORATORY ONLY - NOT TRADEABLE
XRP,1823902,will-xrp-reach-2-in-april-2026,67556301124097607260152199396403959080839673893054926374870558197278260784915,Will XRP reach $2.00 in April?,24,poly_leads_crypto,252,-0.03398429952670056,-0.5376495201277953,0.591297297103395,0.5376495201277953,<7d,10k-100k,10k-100k,98681.84129599998,98681.84129599994,28324.29143,EXPLORATORY ONLY - NOT TRADEABLE
BTC,948958,bitcoin-all-time-high-by-december-31-2026,102959890468928530190954086704155483076852880798676895426376704430618826404382,"Bitcoin all time high by December 31, 2026?",4,poly_leads_crypto,333,-0.02882267741719895,-0.5246006053203398,0.600212015931758,0.5246006053203398,>90d,100k-1m,10k-100k,150472.217921,769792.2449099988,45856.2478,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1345530,will-bitcoin-reach-80000-by-december-31-2026-195-842-488-785,57919935471407397521237084573781793510659396827525482575585173092467716045100,"Will Bitcoin reach $80,000 by December 31, 2026?",24,poly_leads_crypto,609,0.020260757742656177,0.49927427091311943,0.6177670823419976,0.49927427091311943,>90d,100k-1m,10k-100k,359045.5921890006,642867.6855509996,78398.76926,EXPLORATORY ONLY - NOT TRADEABLE
BTC,701493,will-bitcoin-reach-130000-by-december-31-2026-756-151-855,106722178102302988256241610384561546855057790384749278490135208236665942286983,"Will Bitcoin reach $130,000 by December 31, 2026?",4,poly_leads_crypto,685,-0.018763320736900364,-0.4904520080766293,0.6239716025763966,0.4904520080766293,>90d,100k-1m,10k-100k,202363.6980929998,889981.860761002,38333.3548,EXPLORATORY ONLY - NOT TRADEABLE
BTC,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,"Will Bitcoin reach $105,000 in April?",4,poly_leads_crypto,453,0.023020983187279218,0.48902070756695437,0.6250647616140528,0.48902070756695437,<7d,100k-1m,10k-100k,863597.2950850005,863597.2950850041,82214.30441,EXPLORATORY ONLY - NOT TRADEABLE
